"Nr. crt.","Client","CIF","Adresa","Factura","Data emiterii","Data scadentei","Status","Moneda","Valoare fara TVA","Valoare TVA","Valoare Totala","Aviz insotire","Observatii"
"1","14b43aa6f6f4b7bfda6239956f6dbe176eaf080e","c7037b97c13275a3ea3a14aa4c14851fe271ce48","1d1421901ac6fe5873e2764188fd2597c5d009fd","12192","29/02/2024","15/03/2024","emisa","RON","17112.59","3251.29","20363.89","",""
"2","38bfb5d892cba2e49de08c2d1c9534a589397e6e","96b7f7f0a89ee83f75c2c41818383dbf0fe6ec9a","ab47f048ac7673a82a98083fd87c58ecaa5ba41a","12191","29/02/2024","15/03/2024","emisa","RON","34499.52","6554.92","41054.44","",""
"3","948aae62125603c9b83f1bb673f961927a102967","07b2a9a97395cfb6cafefc0578b4533cd4dc96f6","e5dbcd2822c07e76f95b5e5180862680aab476d9","12190","29/02/2024","15/03/2024","incasata","RON","-15353.12","-2917.11","-18270.24","",""
"4","eeb0eff9ab8bbcabd42920fffa887a1cbb758651","4bc7ffd2ecc5875ba7970c5fcefadb8bd29b2c90","6c2655028c823e1d7ca53f6f0ebd62e613dd62d0","12189","29/02/2024","15/03/2024","emisa","RON","248459.38","47207.33","295666.71","",""
"5","050286b322fbd3e57afb4117ff3c992580fad057","630e55bf1fd7dcea8e40e8154026ea5207c30a35","e58eee0da77ae9bac50f2c1d3477ccc31a16e47c","12188","29/02/2024","15/03/2024","incasata partial","RON","272311.9","51739.26","324051.16","",""
"6","c4f821e8850d06fd6bfa9675d45d3b8adfdcb4fb","fa46c3099ca8a467d1f666bacdb186fdda28d900","001ee3f7d26e50f222fd4af859bd2fe91100b79b","12187","29/02/2024","15/03/2024","emisa","RON","36172.4","6873.03","43045.43","",""
"7","a4f51102b3c9bac6bdf604ef3e903cd74f7ccc74","1005eb076dbc3f1c07f6c903be39b4172685e8ed","7ca4688f679340a9ca1d75c0fc4c93488ebc22d5","12186","28/02/2024","14/03/2024","emisa","RON","435171.59","82682.64","517854.23","",""
"8","aa0b0ae5cee6b03a39fcab825ed7a88c6b8c2595","cb6014751c6dadc9ff1ab5d570224df760e0a147","179af599e13f3a371b7366d1589ba0983a688689","12185","28/02/2024","14/03/2024","emisa","RON","3365.43","639.41","4004.81","",""
"9","7e6674d71bc5fd64814b93070e0258be84056860","467fcc625c9ec43a765c9509e4878ab09bf3c099","608a4019ea90ffa518864182fc2bc663772bf290","12184","28/02/2024","14/03/2024","emisa","RON","6431.49","1221.98","7653.47","",""
"10","3e7ed79baa0d5deeb98ce79c292f3d960358cb03","144a1b27c706e00f16e35b94070f35e9ecc5ffb4","9aebcdc3dabc046d8ea8fff3e29111ee4678bc72","12183","28/02/2024","14/03/2024","emisa","RON","198802.4","37772.5","236574.9","",""
